Index, CES survey, cesR survey code
1, 2019 web, ces2019_web
2, 2019 phone, ces2019_phone
3, 2015 web, ces2015_web
4, 2015 phone, ces2015_phone
5, 2015 combo, ces2015_combo
6, 2011, ces2011
7, 2008, ces2008
8, 2004, ces2004
9, 2004-2011, ces0411
10, 2004-2006, ces0406
11, 2000, ces2000
12, 1997, ces1997
13, 1993, ces1993
14, 1988, ces1988
15, 1984, ces1984
16, 1974, ces1974
17, 1974 & 1979 & 1980, ces7480
18, 1972 Jun/Jul, ces72_jnjl
19, 1972 Sep, ces72_sep
20, 1972 Nov, ces72_nov
21, 1968, ces1968
22, 1965, ces1965
